#{"t_start": 1703712070.1578119, "env_id": "ContinuousCartPole-v0"}
r,l,t
38.0,38,0.609627
27.0,27,0.638026
39.0,39,0.669155
49.0,49,0.706238
40.0,40,0.737315
42.0,42,0.769196
44.0,44,0.803288
30.0,30,0.833415
31.0,31,0.875606
28.0,28,0.905488
27.0,27,0.931981
29.0,29,0.962791
77.0,77,1.047679
33.0,33,1.082498
37.0,37,1.129755
55.0,55,1.187657
35.0,35,1.223963
46.0,46,1.278641
24.0,24,1.309445
53.0,53,1.376433
37.0,37,1.42277
38.0,38,1.472572
34.0,34,1.517356
30.0,30,1.558369
44.0,44,1.616281
65.0,65,1.694369
51.0,51,1.752837
53.0,53,1.804358
31.0,31,1.834816
27.0,27,1.8595
40.0,40,1.898683
30.0,30,1.927125
29.0,29,1.955915
52.0,52,2.014204
32.0,32,2.052117
30.0,30,2.103186
45.0,45,2.141789
40.0,40,2.175062
39.0,39,2.204609
32.0,32,2.242377
28.0,28,2.277208
26.0,26,2.305025
38.0,38,2.345837
37.0,37,2.386728
39.0,39,2.429775
30.0,30,2.465327
33.0,33,2.503046
35.0,35,2.543447
56.0,56,2.593677
55.0,55,2.63545
55.0,55,2.680176
38.0,38,2.709208
37.0,37,4.99352
24.0,24,5.013121
59.0,59,5.063398
38.0,38,5.098968
34.0,34,5.130253
32.0,32,5.161369
29.0,29,5.198694
37.0,37,5.235244
33.0,33,5.261759
47.0,47,5.304428
68.0,68,5.368686
27.0,27,5.398077
29.0,29,5.422787
30.0,30,5.44587
50.0,50,5.485512
37.0,37,5.517616
35.0,35,5.546169
43.0,43,5.578933
34.0,34,5.606364
46.0,46,5.644272
30.0,30,5.669024
64.0,64,5.730546
46.0,46,5.765411
50.0,50,5.805584
37.0,37,5.833932
36.0,36,5.862769
28.0,28,5.890446
33.0,33,5.926847
30.0,30,5.955671
53.0,53,6.012256
35.0,35,6.044521
92.0,92,6.131331
83.0,83,6.218366
56.0,56,6.271071
51.0,51,6.319883
26.0,26,6.344648
51.0,51,6.414286
31.0,31,6.491337
49.0,49,6.556523
61.0,61,6.615806
60.0,60,6.675833
31.0,31,6.709581
45.0,45,6.751517
49.0,49,6.798761
25.0,25,6.821596
36.0,36,6.858917
35.0,35,6.891882
41.0,41,6.93158
28.0,28,6.957236
34.0,34,9.069388
27.0,27,9.093795
28.0,28,9.137719
47.0,47,9.173565
41.0,41,9.205705
87.0,87,9.272502
